lsoa,place,distance,area
E01000599,London,9496.25996963606,87518.4199275029
E01000600,London,10042.6328337505,2027011.1455245
E01000601,London,10081.1759216471,696394.979973004
E01000602,London,10319.3727672563,134065.893375998
E01000603,London,9908.25281184123,122744.309333496
E01000604,London,10318.9053175466,168966.876134
E01000605,London,10207.4713497213,171537.332727003
E01000606,London,14771.5285673952,235652.114793503
E01000607,London,13430.6120745617,196190.4076095
E01000608,London,13808.466804187,567696.688028496
E01000609,London,14201.658570737,248155.122404998
E01000610,London,13019.2878955292,285798.705504999
E01000611,London,13702.3014213053,123030.198311002
E01000612,London,13119.6752455321,255899.172400002
E01000613,London,13330.535811421,217596.452367002
E01000615,London,11182.1459395277,664584.620844007
E01000616,London,12108.6576160472,170627.529527
E01000617,London,11417.6624932388,271240.339509501
E01000618,London,10960.6545723877,182477.914317498
E01000619,London,10716.3175415123,213210.296103501
E01000620,London,11116.4000711828,438985.772282496
E01000621,London,10712.6558065296,213575.920449503
E01000622,London,10779.8431241045,626083.1525835
E01000623,London,11689.1888718743,191287.509469502
E01000624,London,11299.3518676795,263650.019255
E01000625,London,11268.2584039913,267684.073700501
E01000626,London,10731.2394386746,207390.363317001
E01000627,London,10427.3671473903,220785.226463999
E01000628,London,10136.2817466699,352355.280292001
E01000629,London,11629.4628384751,183168.853936998
E01000630,London,11956.3380478793,286123.953572004
E01000631,London,12642.8998646435,252884.468705495
E01000632,London,12228.7663604682,284718.126393001
E01000633,London,12379.2965581187,164666.028716995
E01000634,London,12788.7938901526,168582.218016006
E01000635,London,12367.0941336327,232498.789429
E01000636,London,11808.8354378867,213101.173468999
E01000637,London,8320.9746706566,71804.0075879974
E01000638,London,8693.6662224676,293781.878272502
E01000639,London,8025.84795545108,96611.2837204956
E01000640,London,8451.80849982706,123299.7047275
E01000641,London,8680.55576867226,107872.231355
E01000642,London,7767.262068967,159227.722571003
E01000643,London,8062.61402331795,571370.150460494
E01000644,London,8111.32919867176,123222.860819003
E01000645,London,16578.8145829249,780390.086004502
E01000646,London,15998.5373452521,352228.666708503
E01000647,London,16253.6318163908,251954.392895501
